"","word","freq","length_word"
"2","(魚桀)魚",2,3
"3","(稻)暮眼蝶",3,4
"4","[魚本]仔",5,3
"5","一文字弄蝶",3,5
"6","一文字綠小灰蝶",2,7
"7","一本莎",9,3
"8","一字倒吊",5,4
"9","一字挵蝶",3,4
"10","一朵芙蓉花",3,5
"11","一色氏長角蛾",1,6
"12","一色深山天牛",1,6
"13","一色黃紋天牛",2,6
"14","一角剝",5,3
"15","一枝花",3,3
"16","一枝蒿",1,3
"17","一條線蕨",2,4
"18","一條線蕨屬",1,5
"19","一條龍",1,3
"20","一莖九華",7,4
"21","一點灰蝶",2,4
"22","一點紅",2,3
"23","一點清",1,3
"24","一點黃粉蝶",1,5
"25","一點蝶",1,3
"26","丁氏絲隆頭魚",4,6
"27","丁香",3,2
"28","丁香魚",3,3
"29","丁香鰻",2,3
"30","丁香鱙",7,3
"31","丁挽",3,2
"32","丁挽舅",2,3
"33","七夕魚",12,3
"34","七爪菜欒藤",2,5
"35","七步蛇",1,3
"36","七指蕨",4,3
"37","七星牛尾菜",6,5
"38","七星仔",7,3
"39","七星魚",99,3
"40","七星斑",4,3
"41","七星斑囊果薹",10,6
"42","七星蝶",4,3
"43","七星蕨",8,3
"44","七星鱸",2,3
"45","七帶九棘鱸",1,5
"46","七帶格仔",1,4
"47","七帶雀鯛",3,4
"48","七帶寒鯛",2,4
"49","七帶鱠",1,3
"50","七彩龍",4,3
"51","七彩龜",2,3
"52","七棘副緋鯉",3,5
"53","七腳螺",2,3
"54","七葉蓮",3,3
"55","七鰓沙",12,3
"56","九牙",5,2
"57","九更仔",1,3
"58","九重吹",5,3
"59","九帶天竺鯛",4,5
"60","九棘高體盔魚",3,6
"61","九筆榕",2,3
"62","九裏香",11,3
"63","九道三峰齒鮫",2,6
"64","九線天竺鯛",2,5
"65","九龍藤",9,3
"66","二色異齒鳚",3,5
"67","二色蠊",2,3
"68","二色鰻",1,3
"69","二尾蛺蝶",3,4
"70","二形鳳尾蕨",4,5
"71","二角菱",1,3
"72","二刺羊角蚱",1,5
"73","二長棘犁齒鯛",2,6
"74","二型馬唐",13,4
"75","二棱大麥",74,4
"76","二裂星毛刺茄",25,6
"77","二間雀",4,3
"78","二黃",1,2
"79","二萼豐花草",3,5
"80","二線蝶",3,3
"81","二點全鬚夜蛾",1,6
"82","二點星紅蝽",1,5
"83","二點星紅蝽象",1,6
"84","二點偽鉤翅蛾",2,6
"85","二點黑尾葉蟬",1,6
"86","人字蝶",3,3
"87","人面竹",9,3
"88","人蝨",2,2
"89","入侵紅火蟻",1,5
"90","八仙山弄蝶",1,5
"91","八仙草",1,3
"92","八目蝶",2,3
"93","八字蓼",3,3
"94","八色鶇",1,3
"95","八色鶇科",1,4
"96","八角尺蛾",1,4
"97","八角金盤",1,4
"98","八角魚",1,3
"99","八角楓鉤蛾",2,5
"100","八星綠姬蜘",2,5
"101","八重山島異齒鳚",2,7
"102","八重山粉蝶",1,5
"103","八重山紫蛺蝶",2,6
"104","八重山蠍",1,4
"105","八哥",1,2
"106","八哥(大陸亞種)",2,6
"107","八哥(台灣亞種)",1,6
"108","八哥大陸亞種",2,6
"109","八哥台灣亞種",1,6
"110","八帶龍",1,3
"111","八斑和瓢蟲",1,5
"112","八絲指馬鮁",2,5
"113","八葉五加",13,4
"114","八線蝶",2,3
"115","八點光蟬",4,4
"116","八點球腹蛛",2,5
"117","八點蠟蟬",4,4
"118","八鰭丫髻鮫",3,5
"119","八鬚鯉",3,3
"120","刀片",7,2
"121","刀片魚",4,3
"122","刀梭",1,2
"123","力狄美綏蟎",1,5
"124","力魚",7,2
"125","十字偽葉蟲花天牛",1,8
"126","十字薹草",5,4
"127","十字蟹",1,3
"128","十刺銀鱸",2,4
"129","十星天牛",1,4
"130","十萼花目",1,4
"131","十齒花目",1,4
"132","三叉虎",7,3
"133","三不掉",19,3
"134","三爪仔",2,3
"135","三牙",2,2
"136","三玄點小灰蝶",1,6
"137","三目公仔",1,4
"138","三宅前寄居蟹",2,6
"139","三色菖鮋",2,4
"140","三色龍",2,3
"141","三尾小灰蝶",1,5
"142","三尾灰蝶",1,4
"143","三抓仔",6,3
"144","三芒耳稃草",24,5
"145","三角仔",7,3
"146","三角仙人掌",5,5
"147","三角台灣蔣氏節蜱",1,8
"148","三角光鰓魚",1,5
"149","三角狄",19,3
"150","三角姑",1,3
"151","三角招潮蟹",2,5
"152","三角昌",3,3
"153","三角河魨",6,4
"154","三角倒吊",6,4
"155","三角峰小灰蝶",2,6
"156","三角峰玳灰蝶",2,6
"157","三角紋蝶",1,4
"158","三角脈鳳尾蕨",4,6
"159","三角斑白蠶蛾",3,6
"160","三角葉陵齒蕨",9,6
"161","三角葉鱗始蕨",9,6
"162","三角鉤",1,3
"163","三角對葉蘭",4,5
"164","三角蜘蛛",5,4
"165","三角錐天蛾",1,5
"166","三角閻魔金龜",1,6
"167","三角雙葉蘭",4,5
"168","三來",2,2
"169","三刺魨",19,3
"170","三奈",5,2
"171","三花銀蓮花",2,5
"172","三星毛足鱸",3,5
"173","三星仔",3,3
"174","三星冬夜蛾",1,5
"175","三星鬥魚",3,4
"176","三星龍蝨",1,4
"177","三星雙尾小灰",2,6
"178","三星雙尾燕蝶",2,6
"179","三星攀鱸",3,4
"180","三界娘仔",2,4
"181","三疣梭子蟹",1,5
"182","三突花蛛",5,4
"183","三重斑點瀨魚",2,6
"184","三娘鯊",3,3
"185","三紋裸瓢蟲",1,5
"186","三紋蝴蝶魚",1,5
"187","三帶赤尾冬",1,5
"188","三帶金翅雀鯛",2,6
"189","三帶虹彩鯛",2,5
"190","三帶楔鯛",2,4
"191","三帶頸鰭魚",2,5
"192","三帶離鰭鯛",2,5
"193","三康",4,2
"194","三眼蝶",1,3
"195","三趾翠鳥",3,4
"196","三趾翡翠",2,4
"197","三趾鷗",5,3
"198","三趾鷸",2,3
"199","三斑天竺鯛",3,5
"200","三斑宅泥魚",4,5
"201","三斑趾弄蝶",2,5
"202","三斑菩薩魚",3,5
"203","三斑黑刺蛾",1,5
"204","三斑儒艮鯛",2,5
"205","三棘多板盾尾魚",2,7
"206","三棘若蛇鯖",1,5
"207","三棘高身鮋",1,5
"208","三絲鮋",1,3
"209","三裂葉扁豆",1,5
