"","word","freq","length_word"
"2","(虫穴)蟎科",1,4
"3","(虫穴)蟎屬",1,4
"4","一口可梅",1,4
"5","一字刺尾鯛",5,5
"6","一年生木丸菌",2,6
"7","一色叉大蚊",1,5
"8","一色天竺鯛",1,5
"9","一色氏山天牛",1,6
"10","一色氏古蝠蛾",1,6
"11","一色氏黃紋天牛",2,7
"12","一色氏跳蛃",1,5
"13","一色氏黽蝽",1,5
"14","一色多棘姬蜂",1,6
"15","一色亞大蚊",1,5
"16","一色長大蚊",1,5
"17","一色原大蚊",1,5
"18","一色蚜蠅",1,4
"19","一色兜夜蛾",2,5
"20","一色副大蚊",1,5
"21","一色葉蜂",1,4
"22","一色蕨葉蜂",1,5
"23","一色蠍蛉",1,4
"24","一色魔大蚊",1,5
"25","一串紅",1,3
"26","一枝香",4,3
"27","一枝黃花",2,4
"28","一枝黃花屬",1,5
"29","一原氏異鱗鯊",1,6
"30","一帶中脊沫蟬",1,6
"31","一節海螄",1,4
"32","一葉羊耳蒜",9,5
"33","一葉秋片盾介殼蟲",2,8
"34","一葉荻銹孢銹菌",1,7
"35","一葉罈花蘭",4,5
"36","一葉蘭夏孢銹菌",1,7
"37","一葉蘭屬",1,4
"38","一銘美苔蛾",2,5
"39","一線沙尺蛾",3,5
"40","一線錐折螺",1,5
"41","一線點沙尺蛾",1,6
"42","一點平龜椿象",1,6
"43","一點同緣椿象",2,6
"44","一點頂夜蛾",1,5
"45","一點鉤蛾",3,4
"46","一點蝴蝶魚",1,5
"47","一點燕蛾",1,4
"48","一點擬燈蛾",1,5
"49","一點鏟頭沫蟬",4,6
"50","一嚙蟲科",1,4
"51","一嚙蟲屬",1,4
"52","乙女白鬼傘",1,5
"53","乙型線狀病毒科",1,7
"54","乙型變形菌綱",1,6
"55","乙鼓蝦屬",1,4
"56","丁子螺屬",1,4
"57","丁氏巨山蟻",1,5
"58","丁氏絲鰭鸚鯛",4,6
"59","丁氏舉尾家蟻",2,6
"60","丁香",1,2
"61","丁香杜鵑",4,4
"62","丁香花花介",1,5
"63","丁香屬",1,3
"64","丁座草",3,3
"65","丁葵草",2,3
"66","丁葵草屬",1,4
"67","丁嘉異美苔蛾",2,6
"68","丁蠣",1,2
"69","丁蠣科",1,3
"70","丁蠣屬",1,3
"71","七九克里介",1,5
"72","七夕魚科",1,4
"73","七夕魚屬",1,4
"74","七子殼灰介",1,5
"75","七爪萼龍藤",2,5
"76","七里明艾納香",1,6
"77","七里香",2,3
"78","七里香皺葉刺節蜱",1,8
"79","七刺栗殼蟹",1,5
"80","七股芽苞桿菌",1,6
"81","七室羽爪節蜱",1,6
"82","七指蕨亞科",1,5
"83","七指蕨屬",1,4
"84","七星山姬春蟬",1,6
"85","七星山蹄蓋蕨",1,6
"86","七星底燈魚",3,5
"87","七星盾背椿象",2,6
"88","七星班囊果薹",10,6
"89","七星鳴姬蛛",3,5
"90","七星寮額突薊馬",1,7
"91","七星瓢蟲",1,4
"92","七星鱧",2,3
"93","七帶下美鮨",3,5
"94","七帶豆娘魚",3,5
"95","七帶短角單棘魨",2,7
"96","七帶豬齒魚",2,5
"97","七帶瓢金花蟲",1,6
"98","七斑亮大蚊",1,5
"99","七棘海緋鯉",3,5
"100","七棱淺室水母",2,6
"101","七絲鱭",1,3
"102","七腕蝦屬",1,4
"103","七葉一枝花",2,5
"104","七葉一枝花屬",1,6
"105","七葉樹屬",1,4
"106","七寶菊",1,3
"107","七鰓鯊屬",1,4
"108","九丁榕",5,3
"109","九丁榕夏孢銹菌",1,7
"110","九丁榕球座腔菌",1,7
"111","九九峰秋海棠",1,6
"112","九孔疱疹病毒",3,6
"113","九孔螺",2,3
"114","九爪藤",2,3
"115","九州小寬肩蝽",1,6
"116","九州耳蕨",2,4
"117","九州杓蛤",1,4
"118","九州斧蛤",1,4
"119","九州雉尾苔",1,5
"120","九年母",1,3
"121","九曲格粒螺",1,5
"122","九芎",3,2
"123","九芎假尾孢菌",1,6
"124","九角水母",2,4
"125","九角水母屬",1,5
"126","九里香葉孔菌",1,6
"127","九刺仙人柱",1,5
"128","九刺栗殼蟹",1,5
"129","九刺鮨屬",1,4
"130","九味一枝蒿",1,5
"131","九官鳥",1,3
"132","九星瓢蟲",1,4
"133","九洲杜鵑",1,4
"134","九重葛",2,3
"135","九重葛疣絲孢菌",1,7
"136","九重葛黃化葉脈帶狀病毒",2,11
"137","九香蟲",1,3
"138","九香蟲屬",1,4
"139","九帶鸚天竺鯛",2,6
"140","九斑尼艷瓢蟲",1,6
"141","九斑盤瓢蟲",1,5
"142","九棘長鰭鸚鯛",3,6
"143","九棚糞金龜",1,5
"144","九華蘭",7,3
"145","九節木",10,3
"146","九節木長喙天蛾",4,7
"147","九節木頂冠節蜱",1,7
"148","九節木瘤節蜱",1,6
"149","九節木鍊介殼蟲",1,7
"150","九節木屬",1,4
"151","九葉酢漿草",1,5
"152","九層塔參珠螺",1,6
"153","九齒扇蝦",1,4
"154","九頭獅子草",9,5
"155","九頭獅子草屬",1,6
"156","九龍擬步行蟲",1,6
"157","二十星菌瓢蟲",1,6
"158","二十葉海螄螺",1,6
"159","二十蕊商陸",1,5
"160","二叉蚜屬",1,4
"161","二叉鹿角蕨",4,5
"162","二叉黑條蠅虎",1,6
"163","二分短蜂介",1,5
"164","二分軸孔珊瑚",1,6
"165","二分戳花介",1,5
"166","二毛寄蠅",1,4
"167","二列爬管藻",1,5
"168","二列鰓海牛科",1,6
"169","二列鶴嘴苔",2,5
"170","二尖耳蕨",1,4
"171","二年殘孔菌",15,5
"172","二托菌科",1,4
"173","二托菌屬",1,4
"174","二羽達邊蕨",5,5
"175","二肋商鞅介",1,5
"176","二色尖長蝽",2,5
"177","二色刺尻魚",2,5
"178","二色桌片參",2,5
"179","二色缺纓狹薊馬",1,7
"180","二色戛蝗",1,4
"181","二色細花螢",1,5
"182","二色無鬚鳚",3,5
