"","word","EBCL","TBCL","HSK","length_word"
"4","一文字弄蝶","無","第7級","無",5
"5","一文字綠小灰蝶","無","第7級","無",7
"7","一字倒吊","無","第7級","無",4
"11","一色深山天牛","無","第3級","HSK_3",6
"12","一色黃紋天牛","無","第6級","HSK_789",6
"13","一角剝","無","第6級","HSK_789",3
"14","一枝花","無","第1級","HSK_6",3
"18","一條龍","無","第3級","HSK_3",3
"19","一莖九華","無","第7級","HSK_789",4
"20","一點灰蝶","無","第7級","無",4
"21","一點紅","A1","第1級","HSK_2",3
"22","一點清","A2","第3級","HSK_2",3
"23","一點黃粉蝶","無","第7級","無",5
"24","一點蝶","無","第7級","無",3
"25","丁氏絲隆頭魚","無","第6級","HSK_789",6
"26","丁香","無","第3級","HSK_789",2
"27","丁香魚","無","第3級","HSK_789",3
"30","丁挽","無","第6級","HSK_789",2
"31","丁挽舅","無","第6級","HSK_789",3
"32","七夕魚","無","第4級","HSK_5",3
"34","七步蛇","無","第4級","HSK_5",3
"36","七星牛尾菜","無","第4級","HSK_4",5
"37","七星仔","無","第4級","HSK_5",3
"38","七星魚","A1","第2級","HSK_2",3
"39","七星斑","無","第5級","HSK_789",3
"41","七星蝶","無","第7級","無",3
"45","七帶格仔","無","第4級","HSK_5",4
"49","七彩龍","無","第4級","HSK_3",3
"50","七彩龜","無","第6級","HSK_789",3
"52","七腳螺","無","無","HSK_789",3
"53","七葉蓮","無","第5級","HSK_789",3
"55","九牙","A2","第2級","HSK_4",2
"56","九更仔","無","第4級","HSK_5",3
"57","九重吹","無","第4級","HSK_2",3
"61","九裏香","無","第2級","無",3
"64","九龍藤","無","第7級","HSK_789",3
"73","二型馬唐","無","第4級","HSK_789",4
"75","二裂星毛刺茄","無","第6級","HSK_6",6
"76","二間雀","無","第5級","HSK_789",3
"77","二黃","A2","第2級","HSK_2",2
"79","二線蝶","無","第7級","無",3
"84","二點黑尾葉蟬","無","第6級","無",6
"85","人字蝶","無","第7級","無",3
"86","人面竹","無","第4級","HSK_5",3
"88","入侵紅火蟻","無","第5級","無",5
"89","八仙山弄蝶","無","第7級","無",5
"90","八仙草","無","第5級","HSK_789",3
"91","八目蝶","無","第7級","無",3
"96","八角金盤","無","第4級","無",4
"97","八角魚","無","第4級","HSK_2",3
"101","八重山粉蝶","無","第7級","無",5
"104","八哥","A1","第1級","HSK_1",2
"107","八哥大陸亞種","無","第4級","HSK_4",6
"108","八哥台灣亞種","無","第4級","HSK_6",6
"109","八帶龍","無","第3級","HSK_3",3
"112","八葉五加","無","第4級","HSK_4",4
"113","八線蝶","無","第7級","無",3
"114","八點光蟬","無","第6級","無",4
"115","八點球腹蛛","無","第7級","無",5
"116","八點蠟蟬","無","第6級","無",4
"119","刀片","無","第2級","HSK_3",2
"120","刀片魚","無","第2級","HSK_3",3
"121","刀梭","無","第7級","無",2
"123","力魚","A2","第2級","HSK_2",2
"124","十字偽葉蟲花天牛","無","第7級","HSK_789",8
"126","十字蟹","無","第7級","無",3
"128","十星天牛","A1","第1級","HSK_1",4
"130","十齒花目","無","第3級","HSK_789",4
"131","三叉虎","無","第3級","HSK_5",3
"132","三不掉","無","第3級","HSK_2",3
"133","三爪仔","無","第5級","HSK_789",3
"134","三牙","A2","第2級","HSK_4",2
"135","三玄點小灰蝶","無","第7級","無",6
"136","三目公仔","無","第4級","HSK_5",4
"137","三宅前寄居蟹","無","第7級","無",6
"139","三色龍","無","第3級","HSK_3",3
"140","三尾小灰蝶","無","第7級","無",5
"141","三尾灰蝶","無","第7級","無",4
"142","三抓仔","無","第4級","HSK_5",3
"144","三角仔","無","第4級","HSK_5",3
"145","三角仙人掌","無","第5級","HSK_789",5
"149","三角姑","無","第4級","HSK_3",3
"150","三角招潮蟹","無","第7級","無",5
"151","三角昌","無","第5級","HSK_6",3
"153","三角倒吊","無","第7級","無",4
"154","三角峰小灰蝶","無","第7級","無",6
"156","三角紋蝶","無","第7級","無",4
"162","三角對葉蘭","無","第5級","HSK_789",5
"163","三角蜘蛛","無","第7級","無",4
"165","三角閻魔金龜","無","無","HSK_789",6
"166","三角雙葉蘭","無","第5級","HSK_789",5
"167","三來","A1","第1級","HSK_1",2
"169","三奈","無","第6級","HSK_5",2
"170","三花銀蓮花","無","第5級","HSK_789",5
"172","三星仔","無","第4級","HSK_5",3
"174","三星鬥魚","無","第5級","無",4
"176","三星雙尾小灰","無","第5級","HSK_5",6
"177","三星雙尾燕蝶","無","第7級","無",6
"179","三界娘仔","無","第4級","HSK_5",4
"181","三突花蛛","無","第7級","無",4
"183","三娘鯊","無","無","HSK_789",3
"185","三紋蝴蝶魚","無","第7級","無",5
"186","三帶赤尾冬","無","第5級","HSK_789",5
"192","三康","A2","第3級","HSK_2",2
"193","三眼蝶","無","第7級","無",3
"194","三趾翠鳥","無","第7級","無",4
"199","三斑宅泥魚","無","第5級","HSK_789",5
"200","三斑趾弄蝶","無","第7級","無",5
"201","三斑菩薩魚","無","無","HSK_789",5
"204","三棘多板盾尾魚","無","第7級","HSK_789",7
"208","三裂葉扁豆","無","第6級","HSK_6",5
"209","三裂葉野葛","無","第7級","無",5
"210","三間雀","無","第5級","HSK_789",3
"212","三腳釘","無","第6級","HSK_789",3
"216","三葉草斑潛蠅","無","第7級","HSK_789",6
"218","三葉蔓荊","無","無","HSK_789",4
"219","三葉龍","無","第4級","HSK_4",3
"226","三瘤糞金龜","無","第7級","HSK_789",5
"231","三線蝶","無","第7級","無",3
"232","三線龍","無","第3級","HSK_3",3
"233","三線雞魚","無","第3級","HSK_3",4
"236","三輪虎天牛","無","第4級","HSK_5",5
"237","三齒仔","無","第4級","HSK_789",3
"241","三點仔","無","第4級","HSK_5",3
"242","三點白","A1","第1級","HSK_1",3
"244","三點金草","無","第2級","HSK_3",4
"245","三點金屬","無","第5級","HSK_3",4
"247","三點神仙","無","第5級","HSK_789",4
"248","三點臺菊虎","無","第7級","無",5
"251","三瓣背寡毛實蠅","無","第7級","HSK_789",7
"252","三寶鳥","無","第4級","HSK_4",3
"257","上戶蜘蛛","無","第7級","無",4
"261","下黃白蝶","無","第7級","無",4
"266","久松金灰蝶","無","第7級","無",5
"267","久保田台灣絨毛金龜","無","無","HSK_789",9
"274","凡納濱對蝦","無","第7級","HSK_789",5
"277","千人捏不死","無","第7級","HSK_789",5
"279","千年木","無","第2級","HSK_3",3
"281","千里光","無","第3級","HSK_3",3
"282","千里香","無","第3級","HSK_3",3
"285","千層塔","無","第6級","HSK_6",3
"286","千寶菜","無","第4級","HSK_4",3
"291","叉尾雨燕留鳥亞種","無","第5級","HSK_789",8
"292","叉尾雨燕過境亞種","無","第5級","HSK_789",8
"293","叉尾鬥魚","無","第5級","無",4
"294","叉尾帶魚","無","第4級","HSK_5",4
"298","叉珊藻","無","第7級","無",3
"299","叉紋小灰蝶","無","第7級","無",5
"300","叉紋蝴蝶魚","無","第7級","無",5
